ensembl_gene_id,symbol,logFC,t,P.Value
ENSG00000000003,TSPAN6,-5.643604444,-4.672128465,4.26E-05
ENSG00000000419,DPM1,-0.181898089,-1.101830793,0.278019824
ENSG00000000457,SCYL3,0.496987374,1.491035084,0.144869071
ENSG00000000460,C1orf112,1.121799095,1.445899453,0.157059877
ENSG00000000938,FGR,10.67068734,7.212341651,1.98E-08
ENSG00000000971,CFH,-3.412927673,-2.788886552,0.0084803
ENSG00000001036,FUCA2,1.904662822,2.28224518,0.028635011
ENSG00000001084,GCLC,0.546058029,2.64921982,0.012004653
ENSG00000001167,NFYA,0.210562275,0.829701289,0.412304959
ENSG00000001460,STPG1,-1.794140966,-3.623953636,0.000908224
ENSG00000001461,NIPAL3,-0.896970108,-4.624077835,4.92E-05
ENSG00000001497,LAS1L,-0.101575808,-0.521024409,0.605615587
ENSG00000001561,ENPP4,1.745254585,4.046848846,0.000270921
ENSG00000001626,CFTR,-0.123686307,-0.158618653,0.874876793
ENSG00000001629,ANKIB1,0.644793731,2.48031157,0.018059168
ENSG00000001630,CYP51A1,1.226094133,2.60065179,0.013518932
ENSG00000001631,KRIT1,0.220166656,0.696433245,0.490735715
ENSG00000002016,RAD52,0.642748229,0.754229829,0.455732551
ENSG00000002330,BAD,-0.146980253,-0.597617783,0.553924335
ENSG00000002549,LAP3,0.256561955,1.288324747,0.206045697
ENSG00000002586,CD99,-0.297155559,-1.18441216,0.244193879
ENSG00000002587,HS3ST1,0.839680212,0.600879449,0.551774009
ENSG00000002726,AOC1,0.142306188,0.136472503,0.892226098
ENSG00000002746,HECW1,-1.532480959,-1.935908284,0.060950487
ENSG00000002822,MAD1L1,-0.789543144,-2.855558232,0.007162468
ENSG00000002834,LASP1,1.952321782,4.544212398,6.25E-05
ENSG00000002919,SNX11,1.686957161,3.010628288,0.004801783
ENSG00000002933,TMEM176A,0.409299748,0.268155174,0.790146693
ENSG00000003056,M6PR,0.041382577,0.202133908,0.840976933
ENSG00000003096,KLHL13,2.802919803,1.768952812,0.085575424
ENSG00000003147,ICA1,-0.389648851,-0.487076131,0.629226914
ENSG00000003249,DBNDD1,-6.775826625,-4.764750868,3.23E-05
ENSG00000003393,ALS2,1.017706202,2.755104184,0.009231285
