V1,V2
GO:0002250,ADA
GO:0002250,ADAM17
GO:0002250,ADCY7
GO:0002250,ADGRE1
GO:0002250,AGER
GO:0002250,AICDA
GO:0002250,AIRE
GO:0002250,ALCAM
GO:0002250,ALOX15
GO:0002250,ANXA1
GO:0002250,APCS
GO:0002250,APLF
GO:0002250,ARG1
GO:0002250,ARG2
GO:0002250,ATAD5
GO:0002250,AZGP1
GO:0002250,B2M
GO:0002250,BACH2
GO:0002250,BATF
GO:0002250,BCL10
GO:0002250,BCL3
GO:0002250,BCL6
GO:0002250,BTK
GO:0002250,BTLA
GO:0002250,BTN3A1
GO:0002250,BTN3A2
GO:0002250,BTN3A3
GO:0002250,BTNL8
GO:0002250,C17orf99
GO:0002250,C1QA
GO:0002250,C1QB
GO:0002250,C1QBP
GO:0002250,C1QC
GO:0002250,C1R
GO:0002250,C1RL
GO:0002250,C1S
GO:0002250,C2
GO:0002250,C3
GO:0002250,C4A
GO:0002250,C4B
GO:0002250,C4BPA
GO:0002250,C4BPB
GO:0002250,C5
GO:0002250,C6
GO:0002250,C7
GO:0002250,C8A
GO:0002250,C8B
GO:0002250,C8G
GO:0002250,C9
GO:0002250,CAMK4
GO:0002250,CCL19
GO:0002250,CCR2
GO:0002250,CCR6
GO:0002250,CD160
GO:0002250,CD19
GO:0002250,CD1A
GO:0002250,CD1B
GO:0002250,CD1C
GO:0002250,CD1D
GO:0002250,CD1E
GO:0002250,CD209
GO:0002250,CD226
GO:0002250,CD244
GO:0002250,CD247
GO:0002250,CD27
GO:0002250,CD274
GO:0002250,CD28
GO:0002250,CD3D
GO:0002250,CD3E
GO:0002250,CD3G
GO:0002250,CD4
GO:0002250,CD40
GO:0002250,CD40LG
GO:0002250,CD46
GO:0002250,CD48
GO:0002250,CD55
GO:0002250,CD6
GO:0002250,CD7
GO:0002250,CD70
GO:0002250,CD74
GO:0002250,CD79A
GO:0002250,CD79B
GO:0002250,CD80
GO:0002250,CD81
GO:0002250,CD84
GO:0002250,CD86
GO:0002250,CD8A
GO:0002250,CD8B
GO:0002250,CD8B2
GO:0002250,CEACAM1
GO:0002250,CFI
GO:0002250,CLC
GO:0002250,CLCF1
GO:0002250,CLEC10A
GO:0002250,CLEC4A
GO:0002250,CLEC4C
GO:0002250,CLEC4D
GO:0002250,CLEC4G
GO:0002250,CLEC4M
GO:0002250,CLEC6A
GO:0002250,CLU
GO:0002250,CR1
GO:0002250,CR2
GO:0002250,CRACR2A
GO:0002250,CRP
GO:0002250,CSK
GO:0002250,CTLA4
GO:0002250,CTSC
GO:0002250,CTSH
GO:0002250,CTSL
GO:0002250,CTSS
GO:0002250,CXCL13
GO:0002250,DBNL
GO:0002250,DCLRE1C
GO:0002250,DENND1B
GO:0002250,DLG1
GO:0002250,DUSP10
GO:0002250,DUSP22
GO:0002250,EBI3
GO:0002250,EIF2AK4
GO:0002250,EMP2
GO:0002250,EOMES
GO:0002250,ERAP1
GO:0002250,ERAP2
GO:0002250,ERCC1
GO:0002250,EXO1
GO:0002250,EXOSC3
GO:0002250,EXOSC6
GO:0002250,FADD
GO:0002250,FAM49B
GO:0002250,FBXO38
GO:0002250,FCAMR
GO:0002250,FCER1G
GO:0002250,FCER2
GO:0002250,FCGR1B
GO:0002250,FCGR2B
GO:0002250,FCGRT
GO:0002250,FCRL4
GO:0002250,FGA
GO:0002250,FGB
GO:0002250,FGL1
GO:0002250,FGL2
